boro_ct,tree_count,percent_oncurb,percent_goodhealth,percent_fairhealth,percent_poorhealth,num_species,percent_damaged,borocode,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_SNGPNT
1006300,267,100.0,84.64419475655431,12.359550561797754,2.9962546816479403,28,34.45692883895131,1,4.3,6.0,120360.0,2.2,19.6,11.9,1.8
1006400,275,93.45454545454545,77.81818181818181,17.454545454545453,4.7272727272727275,22,38.18181818181818,1,7.2,2.5,80531.0,1.6,10.5,6.0,1.0
1006500,339,94.69026548672566,52.21238938053097,38.93805309734513,8.849557522123893,28,32.448377581120944,1,10.7,2.1,72886.0,3.4,10.3,4.3,1.5
1006600,297,81.48148148148148,78.45117845117845,16.835016835016834,4.713804713804714,23,18.51851851851852,1,14.5,2.8,57676.0,11.4,17.8,13.4,5.0
1006700,386,94.04145077720207,72.79792746113989,22.53886010362694,4.66321243523316,43,41.45077720207254,1,5.0,6.0,102643.0,0.8,10.9,5.1,0.6
1007100,272,97.42647058823529,66.91176470588235,24.264705882352942,8.823529411764707,31,41.1764705882353,1,7.5,3.4,118108.0,1.9,18.2,6.8,2.9
1007200,278,98.20143884892086,62.23021582733813,30.575539568345324,7.194244604316546,29,39.20863309352518,1,12.2,4.0,82506.0,2.9,7.1,8.8,0.5
1007300,433,99.30715935334872,68.36027713625866,26.32794457274827,5.311778290993072,40,34.8729792147806,1,7.5,6.6,95602.0,1.7,15.5,6.2,0.7
1007400,117,100.0,66.66666666666667,26.495726495726494,6.837606837606837,16,44.44444444444444,1,11.4,4.8,120401.0,0.4,13.6,4.3,0.8
1007500,368,99.18478260869566,84.23913043478261,12.228260869565217,3.532608695652174,35,15.48913043478261,1,4.5,5.7,123029.0,1.3,12.9,11.0,1.3
1007600,46,100.0,60.869565217391305,32.608695652173914,6.521739130434782,9,39.130434782608695,1,18.9,3.2,90660.0,5.1,7.4,6.5,0.9
1007700,390,97.43589743589743,80.76923076923077,13.076923076923077,6.153846153846154,40,23.076923076923077,1,5.5,5.5,116179.0,0.8,12.6,6.2,1.6
1007800,277,98.55595667870035,61.01083032490975,27.43682310469314,11.552346570397113,16,41.51624548736462,1,8.8,6.9,84098.0,0.7,12.1,10.4,3.2
1007900,403,99.50372208436724,81.38957816377172,12.40694789081886,6.20347394540943,34,9.429280397022332,1,10.7,5.7,130540.0,1.4,19.3,10.7,2.9
1008000,297,100.0,74.74747474747475,17.50841750841751,7.744107744107744,27,47.474747474747474,1,7.4,5.3,102328.0,3.7,22.2,7.8,1.3
1008100,228,100.0,88.15789473684211,7.894736842105263,3.9473684210526314,13,20.614035087719298,1,11.6,5.1,121988.0,4.6,11.9,9.2,3.3
1008200,190,97.89473684210526,73.6842105263158,20.526315789473685,5.7894736842105265,21,19.473684210526315,1,5.5,1.7,112307.0,1.2,18.0,9.4,2.4
1008300,158,94.9367088607595,94.9367088607595,2.5316455696202533,2.5316455696202533,14,8.860759493670885,1,15.7,8.5,61843.0,16.6,14.1,14.1,11.2
1008700,206,100.0,94.1747572815534,4.368932038834951,1.4563106796116505,14,14.077669902912621,1,4.8,2.1,115219.0,3.8,11.5,10.0,2.3
1008800,287,93.03135888501743,73.5191637630662,20.557491289198605,5.923344947735192,18,27.177700348432055,1,7.1,2.7,88209.0,1.6,20.6,8.8,1.2
1008900,293,94.88054607508532,90.10238907849829,7.508532423208191,2.3890784982935154,21,17.747440273037544,1,17.8,3.3,99744.0,8.5,11.0,12.7,7.2
1009000,315,99.04761904761905,75.87301587301587,19.682539682539684,4.444444444444445,25,18.73015873015873,1,5.5,1.5,107607.0,2.6,15.6,7.9,1.9
1009100,187,100.0,89.83957219251337,7.4866310160427805,2.6737967914438503,17,13.903743315508022,1,15.8,6.4,122017.0,5.4,7.5,8.9,2.6
1009200,110,92.72727272727273,67.27272727272727,21.818181818181817,10.909090909090908,9,15.454545454545455,1,6.3,1.8,110887.0,1.9,7.5,7.8,3.6
1009300,221,93.66515837104072,93.66515837104072,5.429864253393665,0.9049773755656109,18,9.95475113122172,1,17.5,5.2,87618.0,5.2,17.1,13.6,2.7
1009500,108,100.0,67.5925925925926,27.77777777777778,4.62962962962963,16,62.96296296296296,1,16.2,8.3,87557.0,1.1,7.6,12.8,0.7
1009700,94,95.74468085106383,86.17021276595744,7.446808510638298,6.382978723404255,11,8.51063829787234,1,18.2,9.9,57443.0,13.7,27.3,8.8,2.9
1009900,673,96.73105497771174,90.93610698365528,6.3893016344725115,2.674591381872214,30,5.052005943536404,1,8.0,5.1,126297.0,2.5,3.9,6.7,3.7
1010602,177,84.18079096045197,63.84180790960452,28.24858757062147,7.909604519774011,25,25.98870056497175,1,2.8,2.3,89091.0,2.0,13.3,15.9,1.5
1010800,326,96.0122699386503,76.68711656441718,19.631901840490798,3.6809815950920246,27,27.300613496932517,1,4.0,3.1,121773.0,0.4,19.9,9.7,0.4
1011000,300,100.0,63.666666666666664,30.333333333333332,6.0,22,34.333333333333336,1,5.4,4.6,106822.0,0.4,15.8,11.6,1.9
1011100,186,100.0,92.47311827956989,3.225806451612903,4.301075268817204,16,7.526881720430108,1,15.3,2.4,78648.0,6.8,4.4,8.7,2.4
1011203,73,95.89041095890411,79.45205479452055,19.17808219178082,1.36986301369863,13,26.027397260273972,1,8.0,3.6,134173.0,1.1,13.3,11.9,3.5
1011600,175,98.28571428571429,63.42857142857143,26.857142857142858,9.714285714285714,17,45.142857142857146,1,4.5,4.9,88552.0,1.1,11.2,12.3,3.6
1011700,121,98.34710743801652,86.77685950413223,9.090909090909092,4.132231404958677,11,7.43801652892562,1,9.9,7.5,87222.0,2.8,4.8,12.3,3.8
1012000,405,97.53086419753086,75.30864197530865,16.790123456790123,7.901234567901234,31,26.666666666666668,1,6.5,3.0,134936.0,1.1,35.3,15.1,0.7
1012100,289,97.92387543252595,79.58477508650519,13.84083044982699,6.57439446366782,21,30.103806228373703,1,10.1,8.7,57797.0,5.6,15.1,5.7,2.3
1012600,293,98.97610921501706,72.35494880546075,16.72354948805461,10.921501706484642,22,44.7098976109215,1,3.9,2.2,99459.0,1.8,20.2,14.6,2.1
1012900,266,98.87218045112782,70.67669172932331,24.81203007518797,4.511278195488722,21,35.338345864661655,1,14.3,7.3,92148.0,3.4,5.7,5.9,2.1
1013200,297,100.0,71.71717171717172,20.2020202020202,8.080808080808081,18,45.11784511784512,1,6.0,1.9,82506.0,2.0,13.3,11.0,2.9
1013400,342,98.24561403508773,71.9298245614035,18.71345029239766,9.35672514619883,27,49.707602339181285,1,12.7,4.7,97600.0,2.5,15.7,18.0,4.7
1013500,368,90.76086956521739,69.02173913043478,20.92391304347826,10.054347826086957,25,15.48913043478261,1,16.7,2.9,68205.0,11.4,18.2,10.4,3.6
1013600,445,97.97752808988764,73.03370786516854,17.528089887640448,9.438202247191011,28,35.28089887640449,1,3.6,2.4,91178.0,2.8,19.8,12.1,1.8
1013700,113,98.23008849557522,52.21238938053097,38.93805309734513,8.849557522123893,15,12.389380530973451,1,8.4,5.6,114837.0,2.1,21.6,11.1,8.4
1014000,397,99.24433249370277,72.04030226700252,22.418136020151135,5.541561712846348,24,30.478589420654913,1,7.1,4.6,136632.0,2.9,19.7,18.0,2.9
1014401,157,100.0,78.34394904458598,15.92356687898089,5.732484076433121,21,32.48407643312102,1,5.4,5.9,105026.0,1.8,23.0,14.6,6.1
1014500,241,82.57261410788382,82.15767634854772,17.012448132780083,0.8298755186721992,13,14.937759336099585,1,5.8,9.0,141401.0,1.1,18.6,9.6,1.9
1014601,127,100.0,63.77952755905512,27.559055118110237,8.661417322834646,17,37.00787401574803,1,5.3,2.0,101676.0,3.2,7.8,8.5,1.6
1014602,190,99.47368421052632,70.52631578947368,22.63157894736842,6.842105263157895,17,47.89473684210526,1,3.8,4.5,88881.0,0.6,15.8,12.4,2.1
1014801,88,100.0,65.9090909090909,23.863636363636363,10.227272727272727,12,29.545454545454547,1,4.0,3.2,134531.0,2.7,23.1,18.1,1.5
1014802,248,100.0,62.5,26.612903225806452,10.887096774193548,25,37.903225806451616,1,5.0,3.4,108412.0,2.4,18.6,16.4,2.4
1014900,241,85.06224066390041,76.76348547717842,20.33195020746888,2.904564315352697,18,14.107883817427386,1,6.2,3.3,149298.0,2.0,21.3,11.7,6.1
1015001,131,100.0,77.09923664122137,20.610687022900763,2.2900763358778624,15,43.51145038167939,1,8.2,3.0,120892.0,1.4,28.5,21.6,5.6
1015100,191,80.6282722513089,54.973821989528794,39.26701570680628,5.7591623036649215,26,8.900523560209423,1,19.6,6.6,72495.0,11.4,16.6,13.8,3.7
1015200,266,91.72932330827068,77.81954887218045,11.278195488721805,10.902255639097744,19,33.08270676691729,1,15.1,4.4,66298.0,10.0,19.8,18.2,5.5
1015300,467,91.00642398286938,86.50963597430408,11.349036402569594,2.1413276231263385,29,34.475374732334046,1,2.7,5.7,128002.0,1.1,16.8,17.5,1.7
1015400,305,100.0,82.95081967213115,12.459016393442623,4.590163934426229,19,49.83606557377049,1,7.1,6.1,59741.0,3.4,14.2,14.8,4.0
1015500,187,87.16577540106952,68.44919786096257,29.41176470588235,2.1390374331550803,24,6.951871657754011,1,5.7,6.3,100433.0,0.6,25.4,16.2,2.7
1015700,321,99.06542056074767,76.32398753894081,18.068535825545172,5.607476635514018,26,21.18380062305296,1,6.4,3.7,114483.0,1.0,16.9,11.8,1.9
1015801,271,98.1549815498155,75.27675276752767,17.71217712177122,7.011070110701107,28,31.73431734317343,1,4.7,2.9,111482.0,2.4,17.1,16.0,3.2
1015802,82,100.0,68.29268292682927,29.26829268292683,2.4390243902439024,11,14.634146341463415,1,8.5,3.7,60808.0,2.3,4.5,9.5,4.3
1016002,125,92.8,80.8,17.6,1.6,15,35.2,1,9.1,6.0,90505.0,4.9,13.9,15.5,3.1
1016100,285,96.14035087719299,80.70175438596492,15.789473684210526,3.508771929824561,30,23.157894736842106,1,4.6,4.3,133222.0,1.9,14.7,12.4,2.2
1016300,350,88.85714285714286,86.85714285714286,10.571428571428571,2.5714285714285716,33,14.0,1,6.8,4.3,108671.0,1.8,24.9,13.7,1.1
1016400,208,85.57692307692308,65.86538461538461,31.25,2.8846153846153846,17,23.076923076923077,1,26.6,10.7,26642.0,22.6,11.5,20.3,12.5
1016600,245,98.77551020408163,65.3061224489796,27.755102040816325,6.938775510204081,22,30.612244897959183,1,25.4,7.7,26836.0,20.8,7.1,19.2,8.7
1016700,349,87.39255014326648,80.51575931232092,14.040114613180515,5.444126074498567,33,10.888252148997134,1,6.5,4.8,131367.0,0.9,19.9,18.3,1.4
1016800,217,96.7741935483871,62.672811059907836,29.953917050691246,7.373271889400922,16,33.17972350230415,1,36.9,14.0,42839.0,22.6,16.9,19.8,13.0
1016900,344,100.0,82.26744186046511,13.953488372093023,3.7790697674418605,21,4.3604651162790695,1,8.5,3.0,89001.0,3.9,15.0,16.9,3.9
1017000,169,99.40828402366864,65.08875739644971,25.443786982248522,9.467455621301776,26,51.4792899408284,1,29.6,8.7,22320.0,29.7,19.2,13.5,10.0
1017100,412,86.16504854368932,80.8252427184466,16.74757281553398,2.4271844660194173,27,13.106796116504855,1,10.6,3.0,119441.0,7.8,16.8,13.9,1.7
1017200,200,98.5,76.5,21.0,2.5,33,28.5,1,22.7,17.3,23087.0,34.7,9.6,21.1,14.4
1017300,398,97.98994974874371,89.44723618090453,7.035175879396985,3.5175879396984926,24,14.57286432160804,1,2.6,3.3,93157.0,10.9,17.3,15.4,2.6
1017401,163,81.59509202453988,87.73006134969326,10.429447852760736,1.8404907975460123,14,33.74233128834356,1,43.6,16.0,24831.0,23.6,16.3,26.8,16.7
1017402,97,83.50515463917526,79.38144329896907,17.52577319587629,3.0927835051546393,15,51.54639175257732,1,32.6,13.9,21859.0,15.9,13.9,17.8,9.5
1017500,424,92.9245283018868,87.97169811320755,9.433962264150944,2.5943396226415096,28,8.49056603773585,1,3.8,2.4,99061.0,1.2,20.8,18.3,1.2
1017700,391,82.86445012787723,81.58567774936061,12.27621483375959,6.138107416879795,26,18.414322250639387,1,17.4,4.4,78850.0,8.1,20.7,17.0,9.7
1017800,283,98.93992932862191,78.79858657243817,9.89399293286219,11.307420494699647,32,20.848056537102472,1,22.8,6.0,26698.0,19.2,7.8,20.5,10.6
1017900,380,88.6842105263158,84.21052631578948,13.947368421052632,1.8421052631578947,31,26.57894736842105,1,12.1,7.9,75717.0,8.4,17.2,15.8,2.3
1018000,190,97.36842105263158,80.52631578947368,14.736842105263158,4.7368421052631575,24,38.421052631578945,1,28.4,10.2,21072.0,26.6,8.1,23.8,13.3
1018100,282,93.61702127659575,75.88652482269504,16.31205673758865,7.801418439716312,23,10.99290780141844,1,7.4,11.9,74463.0,4.6,24.9,16.9,4.5
1018200,190,94.21052631578948,74.73684210526316,21.05263157894737,4.2105263157894735,23,34.73684210526316,1,46.1,8.6,14691.0,25.4,13.7,23.1,24.6
1018300,308,93.50649350649351,80.51948051948052,13.96103896103896,5.51948051948052,23,14.285714285714286,1,4.9,2.3,91518.0,3.0,19.1,13.3,6.5
1018400,251,99.60159362549801,75.69721115537848,15.139442231075698,9.163346613545817,25,26.693227091633467,1,34.4,10.7,18349.0,26.6,13.5,21.3,13.0
1018600,137,86.86131386861314,71.53284671532846,24.817518248175183,3.6496350364963503,13,46.715328467153284,1,45.3,10.0,14471.0,30.9,7.4,27.0,23.0
1018700,402,86.31840796019901,83.58208955223881,13.18407960199005,3.2338308457711444,28,15.92039800995025,1,10.8,5.6,79814.0,6.3,15.2,14.7,5.1
1018800,224,96.42857142857143,65.625,26.339285714285715,8.035714285714286,26,40.17857142857143,1,34.8,12.7,22715.0,31.1,9.8,24.3,8.7
1018900,391,92.58312020460357,75.1918158567775,16.624040920716112,8.184143222506394,33,36.828644501278774,1,35.5,14.2,31809.0,27.1,17.3,20.8,11.6
1019000,184,100.0,66.30434782608695,25.0,8.695652173913043,27,13.043478260869565,1,17.3,2.7,46127.0,9.7,10.8,21.0,8.5
1019100,425,89.17647058823529,82.58823529411765,13.176470588235293,4.235294117647059,32,21.88235294117647,1,12.3,5.6,67636.0,7.9,19.1,13.0,0.6
1019200,78,84.61538461538461,87.17948717948718,7.6923076923076925,5.128205128205129,14,24.358974358974358,1,56.5,13.5,13423.0,40.0,8.8,31.8,28.1
1019300,331,92.74924471299094,81.26888217522658,15.709969788519638,3.0211480362537766,35,19.033232628398792,1,28.1,12.4,33837.0,18.8,14.8,16.8,3.8
1019400,226,92.92035398230088,76.99115044247787,16.371681415929203,6.6371681415929205,21,34.07079646017699,1,48.4,8.0,14385.0,41.2,11.7,24.8,18.5
1019500,463,83.8012958963283,83.58531317494601,12.958963282937365,3.4557235421166306,33,20.734341252699785,1,12.4,5.7,75424.0,5.2,13.2,16.1,5.1
1019600,214,100.0,78.50467289719626,12.616822429906541,8.878504672897197,24,43.925233644859816,1,39.0,10.0,21584.0,35.5,21.5,13.8,13.2
1019701,225,92.0,85.77777777777777,9.777777777777779,4.444444444444445,26,18.666666666666668,1,39.6,9.7,73132.0,2.1,12.3,17.2,5.5
1019702,76,96.05263157894737,63.1578947368421,30.263157894736842,6.578947368421052,19,22.36842105263158,1,25.3,7.5,43127.0,18.2,12.3,8.4,7.1
1019800,339,100.0,84.95575221238938,11.2094395280236,3.8348082595870205,32,28.908554572271388,1,18.1,6.2,42821.0,14.4,11.4,17.4,6.7
1019900,409,80.92909535452323,67.48166259168704,23.4718826405868,9.04645476772616,38,17.6039119804401,1,17.6,6.9,50080.0,4.4,14.5,11.3,1.9
1020000,237,97.0464135021097,75.9493670886076,17.72151898734177,6.329113924050633,27,27.0042194092827,1,10.4,2.7,40065.0,9.7,8.5,16.4,7.8
1020101,86,100.0,73.25581395348837,22.093023255813954,4.651162790697675,10,44.18604651162791,1,16.1,5.0,26403.0,0.4,4.2,6.1,1.8
1020102,172,97.67441860465117,77.90697674418605,19.186046511627907,2.9069767441860463,26,13.372093023255815,1,19.0,6.6,44716.0,10.0,7.4,19.6,10.0
1020600,312,98.07692307692308,68.58974358974359,22.435897435897434,8.974358974358974,35,27.884615384615383,1,26.4,8.6,25229.0,16.9,8.9,22.9,15.8
1020701,102,100.0,70.58823529411765,24.50980392156863,4.901960784313726,18,41.1764705882353,1,24.7,2.0,37088.0,1.8,11.1,6.3,4.5
1020800,300,98.33333333333333,82.66666666666667,11.333333333333334,6.0,32,25.0,1,19.9,10.1,37865.0,12.2,6.2,21.0,11.5
1020901,86,91.86046511627907,80.23255813953489,15.116279069767442,4.651162790697675,19,10.465116279069768,1,35.3,4.7,16281.0,26.7,13.4,18.1,21.8
1021000,147,95.91836734693878,70.06802721088435,21.768707482993197,8.16326530612245,19,36.734693877551024,1,37.6,9.2,20328.0,15.5,11.3,29.8,23.2
1021100,235,93.61702127659575,84.68085106382979,11.914893617021276,3.404255319148936,22,19.574468085106382,1,29.4,5.4,35036.0,12.2,14.5,14.0,10.4
1021200,201,89.05472636815921,75.12437810945273,22.885572139303484,1.9900497512437811,28,22.388059701492537,1,10.6,16.1,38825.0,12.4,19.5,15.4,7.8
1021303,190,100.0,86.84210526315789,8.947368421052632,4.2105263157894735,25,14.210526315789474,1,33.0,4.9,21448.0,17.2,7.6,16.0,11.8
1021600,355,97.1830985915493,75.49295774647888,20.281690140845072,4.225352112676056,27,36.056338028169016,1,21.9,6.2,45796.0,16.8,9.2,19.7,11.2
1021800,340,95.88235294117646,62.05882352941177,27.352941176470587,10.588235294117647,39,21.176470588235293,1,41.9,13.2,32599.0,17.4,9.2,19.1,10.3
1021900,107,100.0,78.50467289719626,15.88785046728972,5.607476635514018,20,16.822429906542055,1,42.1,8.0,13763.0,36.7,14.2,23.0,21.3
1022000,416,98.5576923076923,76.6826923076923,16.58653846153846,6.730769230769231,38,18.990384615384617,1,24.3,6.9,34208.0,18.3,9.2,21.7,9.7
1022102,208,98.07692307692308,92.78846153846153,5.288461538461538,1.9230769230769231,23,20.192307692307693,1,14.0,10.4,34471.0,5.8,6.9,16.7,8.3
1022200,285,100.0,72.98245614035088,16.842105263157894,10.175438596491228,26,10.87719298245614,1,36.4,5.7,35279.0,16.8,8.6,21.6,5.9
1022301,244,97.95081967213115,65.98360655737704,25.81967213114754,8.19672131147541,32,16.80327868852459,1,22.9,10.3,18331.0,38.4,9.4,16.8,14.6
1022400,253,94.07114624505928,81.42292490118577,15.41501976284585,3.1620553359683794,25,11.857707509881424,1,44.1,10.0,19732.0,31.0,6.2,27.0,23.6
1022500,366,98.08743169398907,65.84699453551913,24.043715846994534,10.109289617486338,32,15.846994535519126,1,24.2,13.5,21751.0,30.3,12.6,18.4,11.5
1022600,255,99.6078431372549,74.90196078431373,14.509803921568627,10.588235294117647,27,35.68627450980392,1,30.9,7.5,32618.0,16.8,8.9,21.0,11.9
1022700,301,99.33554817275747,75.74750830564784,23.588039867109636,0.6644518272425249,38,52.159468438538205,1,26.7,7.8,30116.0,19.3,8.0,16.8,8.6
1022800,337,91.98813056379822,80.71216617210682,16.617210682492583,2.6706231454005933,32,27.893175074183976,1,32.7,20.0,26541.0,16.0,10.2,16.7,11.2
1022900,315,100.0,82.22222222222223,13.65079365079365,4.126984126984127,35,24.444444444444443,1,28.6,11.0,25944.0,32.6,12.6,13.9,7.5
1023000,324,98.45679012345678,77.1604938271605,18.51851851851852,4.320987654320987,32,44.44444444444444,1,31.9,13.4,25464.0,28.9,11.5,15.1,11.1
1023100,305,98.0327868852459,86.55737704918033,10.163934426229508,3.278688524590164,32,30.16393442622951,1,24.2,9.3,28425.0,25.2,8.3,17.1,8.1
1023200,283,98.93992932862191,82.3321554770318,16.25441696113074,1.4134275618374559,29,28.268551236749115,1,29.9,15.5,17191.0,29.9,4.7,25.0,20.2
1023300,379,88.39050131926122,76.51715039577836,15.831134564643799,7.651715039577836,40,16.358839050131927,1,25.5,3.8,31059.0,18.2,9.8,17.7,14.1
1023400,213,100.0,78.40375586854461,17.84037558685446,3.755868544600939,22,31.455399061032864,1,28.0,19.1,23982.0,18.4,4.3,20.8,16.5
1023501,255,99.6078431372549,87.84313725490196,9.803921568627452,2.3529411764705883,32,36.470588235294116,1,33.0,12.6,22750.0,22.7,9.9,24.1,7.8
1023502,64,100.0,75.0,18.75,6.25,15,18.75,1,19.6,6.8,21251.0,21.5,8.1,22.6,19.8
1023600,193,94.81865284974093,88.08290155440415,11.398963730569948,0.5181347150259067,22,21.243523316062177,1,20.8,21.2,26355.0,13.8,14.7,25.7,20.0
1023700,377,86.47214854111405,80.63660477453581,16.445623342175065,2.9177718832891246,36,19.628647214854112,1,17.8,7.2,23491.0,28.1,9.3,15.9,9.4
1024100,264,93.93939393939394,76.13636363636364,14.393939393939394,9.469696969696969,22,23.106060606060606,1,28.0,10.0,26397.0,29.2,15.6,12.2,8.1
1024200,261,87.35632183908046,76.24521072796935,14.559386973180077,9.195402298850574,29,32.95019157088122,1,45.7,8.7,15587.0,31.4,9.0,27.9,27.0
1024301,140,97.14285714285714,69.28571428571429,25.0,5.714285714285714,24,25.714285714285715,1,26.0,10.7,22437.0,21.8,8.0,14.8,10.1
1024500,368,89.1304347826087,70.1086956521739,22.82608695652174,7.065217391304348,35,14.673913043478262,1,28.7,10.5,18059.0,32.1,10.1,17.4,12.8
1024700,209,84.21052631578948,62.67942583732057,24.880382775119617,12.440191387559809,28,18.181818181818183,1,15.9,9.9,24236.0,30.6,14.6,14.2,9.9
1024900,112,100.0,77.67857142857143,18.75,3.5714285714285716,20,13.392857142857142,1,29.1,16.1,18826.0,30.6,8.1,16.7,11.5
1025100,211,93.8388625592417,68.24644549763033,20.85308056872038,10.90047393364929,26,13.270142180094787,1,33.2,16.9,16995.0,44.3,13.2,17.7,12.1
1025300,299,98.66220735785953,73.91304347826087,19.39799331103679,6.688963210702341,30,24.08026755852843,1,26.1,13.9,18614.0,39.2,11.0,17.4,10.4
1025500,264,100.0,65.9090909090909,22.348484848484848,11.742424242424242,29,32.95454545454545,1,35.2,10.3,24765.0,11.9,10.8,11.2,4.5
1025700,282,98.22695035460993,84.7517730496454,13.829787234042554,1.4184397163120568,28,10.28368794326241,1,10.0,8.2,47436.0,8.2,8.7,22.7,10.8
1025900,171,100.0,88.88888888888889,10.526315789473685,0.5847953216374269,21,10.526315789473685,1,22.2,9.4,35753.0,13.4,6.7,22.7,14.2
1026100,296,100.0,71.95945945945945,19.93243243243243,8.108108108108109,36,27.7027027027027,1,33.0,21.3,16152.0,42.6,11.1,21.2,16.5
1026300,265,99.62264150943396,78.86792452830188,15.471698113207546,5.660377358490566,33,28.67924528301887,1,29.4,13.8,17888.0,30.2,12.2,21.1,17.5
1026500,198,98.98989898989899,83.33333333333333,8.585858585858587,8.080808080808081,23,24.242424242424242,1,19.2,8.1,32651.0,18.4,15.2,10.9,9.4
1026700,79,86.07594936708861,81.0126582278481,12.658227848101266,6.329113924050633,23,31.645569620253166,1,21.7,5.5,17038.0,14.8,6.2,15.9,3.5
1026900,308,100.0,67.20779220779221,28.571428571428573,4.220779220779221,39,55.84415584415584,1,25.2,10.2,17184.0,47.3,11.1,17.8,15.4
1027300,265,98.86792452830188,78.49056603773585,15.471698113207546,6.037735849056604,36,16.9811320754717,1,15.2,7.5,42053.0,6.6,11.5,16.1,5.1
1027500,98,95.91836734693878,76.53061224489795,19.387755102040817,4.081632653061225,21,15.306122448979592,1,7.4,15.3,52016.0,14.9,17.0,16.6,4.2
1027700,266,99.24812030075188,68.42105263157895,23.68421052631579,7.894736842105263,28,19.924812030075188,1,31.4,10.8,15790.0,42.1,27.2,17.2,11.4
